date time,date,time,seconds since 1970,Humidity,Water_Temperature,Air_Temperature,Air_Pressure
2020-12-02T18:00:00+1000,02-12-2020,18:00:00,1.61E+09,76,27.57,27,1012.4
2020-12-02T18:10:00+1000,02-12-2020,18:10:00,1.61E+09,76.1,27.54,27,1012.4
2020-12-02T18:20:00+1000,02-12-2020,18:20:00,1.61E+09,76.2,27.53,27.1,1012.5
2020-12-02T18:30:00+1000,02-12-2020,18:30:00,1.61E+09,75.5,27.51,26.9,1012.6
2020-12-02T18:40:00+1000,02-12-2020,18:40:00,1.61E+09,76.6,27.47,27,1012.7
2020-12-02T18:50:00+1000,02-12-2020,18:50:00,1.61E+09,76.7,27.43,27,1012.7
2020-12-02T19:00:00+1000,02-12-2020,19:00:00,1.61E+09,76.7,27.4,27,1012.7
2020-12-02T19:10:00+1000,02-12-2020,19:10:00,1.61E+09,77.9,27.38,27,1012.9
2020-12-02T19:20:00+1000,02-12-2020,19:20:00,1.61E+09,75.8,27.36,26.9,1012.9
2020-12-02T19:30:00+1000,02-12-2020,19:30:00,1.61E+09,75.5,27.34,27,1013
2020-12-02T19:40:00+1000,02-12-2020,19:40:00,1.61E+09,77.9,27.35,27,1013.1
2020-12-02T19:50:00+1000,02-12-2020,19:50:00,1.61E+09,76.5,27.36,26.9,1013.2
2020-12-02T20:00:00+1000,02-12-2020,20:00:00,1.61E+09,75.1,27.35,27,1013.1
2020-12-02T20:10:00+1000,02-12-2020,20:10:00,1.61E+09,77.5,27.36,27,1013.2
2020-12-02T20:20:00+1000,02-12-2020,20:20:00,1.61E+09,79,27.35,26.9,1013.3
2020-12-02T20:30:00+1000,02-12-2020,20:30:00,1.61E+09,75.5,27.33,26.8,1013.4
2020-12-02T20:40:00+1000,02-12-2020,20:40:00,1.61E+09,74.8,27.33,27,1013.5
2020-12-02T20:50:00+1000,02-12-2020,20:50:00,1.61E+09,76.8,27.33,27,1013.7
2020-12-02T21:00:00+1000,02-12-2020,21:00:00,1.61E+09,76.9,27.33,27,1013.7
2020-12-02T21:10:00+1000,02-12-2020,21:10:00,1.61E+09,75.3,27.32,26.8,1013.8
2020-12-02T21:20:00+1000,02-12-2020,21:20:00,1.61E+09,76.2,27.31,26.9,1013.9
2020-12-02T21:30:00+1000,02-12-2020,21:30:00,1.61E+09,75.5,27.3,26.9,1013.9
2020-12-02T21:40:00+1000,02-12-2020,21:40:00,1.61E+09,75,27.31,26.9,1014
2020-12-02T21:50:00+1000,02-12-2020,21:50:00,1.61E+09,77.6,27.3,26.9,1013.9
2020-12-02T22:00:00+1000,02-12-2020,22:00:00,1.61E+09,75.7,27.3,26.8,1013.9
2020-12-02T22:10:00+1000,02-12-2020,22:10:00,1.61E+09,74.8,27.3,27,1014
2020-12-02T22:20:00+1000,02-12-2020,22:20:00,1.61E+09,73.7,27.3,26.9,1013.9
2020-12-02T22:30:00+1000,02-12-2020,22:30:00,1.61E+09,73.6,27.29,26.8,1014
2020-12-02T22:40:00+1000,02-12-2020,22:40:00,1.61E+09,73.3,27.28,26.8,1014
2020-12-02T22:50:00+1000,02-12-2020,22:50:00,1.61E+09,72.6,27.27,26.8,1013.9
2020-12-02T23:00:00+1000,02-12-2020,23:00:00,1.61E+09,74.2,27.29,26.9,1013.9
2020-12-02T23:10:00+1000,02-12-2020,23:10:00,1.61E+09,73.5,27.3,27,1013.7
2020-12-02T23:20:00+1000,02-12-2020,23:20:00,1.61E+09,72,27.33,26.7,1013.7
2020-12-02T23:30:00+1000,02-12-2020,23:30:00,1.61E+09,73.3,27.34,26.7,1013.6
2020-12-02T23:40:00+1000,02-12-2020,23:40:00,1.61E+09,75.6,27.36,26.7,1013.4
2020-12-02T23:50:00+1000,02-12-2020,23:50:00,1.61E+09,74.6,27.37,26.7,1013.2
2020-12-03T00:00:00+1000,03-12-2020,00:00:00,1.61E+09,74.7,27.36,26.7,1013.2
2020-12-03T00:10:00+1000,03-12-2020,00:10:00,1.61E+09,74,27.36,26.6,1013.1
2020-12-03T00:20:00+1000,03-12-2020,00:20:00,1.61E+09,72.4,27.35,26.7,1013
2020-12-03T00:30:00+1000,03-12-2020,00:30:00,1.61E+09,73.4,27.33,26.6,1012.9
2020-12-03T00:40:00+1000,03-12-2020,00:40:00,1.61E+09,74.5,27.33,26.6,1012.7
2020-12-03T00:50:00+1000,03-12-2020,00:50:00,1.61E+09,77,27.32,26.6,1012.7
2020-12-03T01:00:00+1000,03-12-2020,01:00:00,1.61E+09,75.8,27.33,26.5,1012.5
2020-12-03T01:10:00+1000,03-12-2020,01:10:00,1.61E+09,73.9,27.33,26.6,1012.4
2020-12-03T01:20:00+1000,03-12-2020,01:20:00,1.61E+09,76,27.36,26.6,1012.3
2020-12-03T01:30:00+1000,03-12-2020,01:30:00,1.61E+09,74.1,27.36,26.5,1012.1
2020-12-03T01:40:00+1000,03-12-2020,01:40:00,1.61E+09,73.8,27.36,26.6,1012
2020-12-03T01:50:00+1000,03-12-2020,01:50:00,1.61E+09,75.9,27.36,26.8,1011.9
2020-12-03T02:00:00+1000,03-12-2020,02:00:00,1.61E+09,74.7,27.36,26.6,1011.9
2020-12-03T02:10:00+1000,03-12-2020,02:10:00,1.61E+09,72.6,27.36,26.5,1011.9
2020-12-03T02:20:00+1000,03-12-2020,02:20:00,1.61E+09,72.3,27.36,26.6,1011.8
2020-12-03T02:30:00+1000,03-12-2020,02:30:00,1.61E+09,72.4,27.35,26.5,1011.8
2020-12-03T02:40:00+1000,03-12-2020,02:40:00,1.61E+09,74.1,27.36,26.5,1011.8
2020-12-03T02:50:00+1000,03-12-2020,02:50:00,1.61E+09,74.4,27.34,26.4,1011.8
2020-12-03T03:00:00+1000,03-12-2020,03:00:00,1.61E+09,73.9,27.33,26.5,1011.8
2020-12-03T03:10:00+1000,03-12-2020,03:10:00,1.61E+09,73.6,27.33,26.4,1011.8
2020-12-03T03:20:00+1000,03-12-2020,03:20:00,1.61E+09,73.7,27.34,26.4,1011.8
2020-12-03T03:30:00+1000,03-12-2020,03:30:00,1.61E+09,75.5,27.35,26.4,1012
2020-12-03T03:40:00+1000,03-12-2020,03:40:00,1.61E+09,74.9,27.35,26.4,1012.1
2020-12-03T03:50:00+1000,03-12-2020,03:50:00,1.61E+09,76.4,27.36,26.4,1012.1
2020-12-03T04:00:00+1000,03-12-2020,04:00:00,1.61E+09,74.2,27.36,26.4,1012.1
2020-12-03T04:10:00+1000,03-12-2020,04:10:00,1.61E+09,74.7,27.36,26.5,1012.2
2020-12-03T04:20:00+1000,03-12-2020,04:20:00,1.61E+09,71.9,27.36,26.4,1012.2
2020-12-03T04:30:00+1000,03-12-2020,04:30:00,1.61E+09,72.9,27.36,26.5,1012.2
2020-12-03T04:40:00+1000,03-12-2020,04:40:00,1.61E+09,72.6,27.36,26.4,1012.3
2020-12-03T04:50:00+1000,03-12-2020,04:50:00,1.61E+09,72.3,27.36,26.4,1012.3
2020-12-03T05:00:00+1000,03-12-2020,05:00:00,1.61E+09,76,27.36,26.4,1012.4
2020-12-03T05:10:00+1000,03-12-2020,05:10:00,1.61E+09,73.5,27.36,26.5,1012.5
2020-12-03T05:20:00+1000,03-12-2020,05:20:00,1.61E+09,74.7,27.35,26.5,1012.6
2020-12-03T05:30:00+1000,03-12-2020,05:30:00,1.61E+09,73.3,27.35,26.5,1012.7
2020-12-03T05:40:00+1000,03-12-2020,05:40:00,1.61E+09,74.8,27.34,26.5,1012.9
2020-12-03T05:50:00+1000,03-12-2020,05:50:00,1.61E+09,73.4,27.33,26.6,1013
2020-12-03T06:00:00+1000,03-12-2020,06:00:00,1.61E+09,74.2,27.33,26.6,1013.1
2020-12-03T06:10:00+1000,03-12-2020,06:10:00,1.61E+09,74.7,27.33,26.6,1013.3
2020-12-03T06:20:00+1000,03-12-2020,06:20:00,1.61E+09,73.2,27.33,26.5,1013.5
2020-12-03T06:30:00+1000,03-12-2020,06:30:00,1.61E+09,73.1,27.33,26.5,1013.5
2020-12-03T06:40:00+1000,03-12-2020,06:40:00,1.61E+09,73.7,27.33,26.5,1013.6
2020-12-03T06:50:00+1000,03-12-2020,06:50:00,1.61E+09,71.9,27.33,26.6,1013.7
2020-12-03T07:00:00+1000,03-12-2020,07:00:00,1.61E+09,70.9,27.33,26.6,1013.8
2020-12-03T07:10:00+1000,03-12-2020,07:10:00,1.61E+09,70,27.33,26.6,1013.8
2020-12-03T07:20:00+1000,03-12-2020,07:20:00,1.61E+09,70.1,27.33,26.7,1013.9
2020-12-03T07:30:00+1000,03-12-2020,07:30:00,1.61E+09,70.2,27.33,26.8,1013.9
2020-12-03T07:40:00+1000,03-12-2020,07:40:00,1.61E+09,73,27.33,26.9,1014
2020-12-03T07:50:00+1000,03-12-2020,07:50:00,1.61E+09,70.9,27.3,26.8,1014
2020-12-03T08:00:00+1000,03-12-2020,08:00:00,1.61E+09,69.1,27.27,26.8,1014.1
2020-12-03T08:10:00+1000,03-12-2020,08:10:00,1.61E+09,69.1,27.27,26.7,1014.2
2020-12-03T08:20:00+1000,03-12-2020,08:20:00,1.61E+09,71,27.27,26.9,1014.3
2020-12-03T08:30:00+1000,03-12-2020,08:30:00,1.61E+09,69.8,27.27,26.8,1014.3
2020-12-03T08:40:00+1000,03-12-2020,08:40:00,1.61E+09,69.4,27.28,26.9,1014.4
2020-12-03T08:50:00+1000,03-12-2020,08:50:00,1.61E+09,67.5,27.28,26.9,1014.5
2020-12-03T09:00:00+1000,03-12-2020,09:00:00,1.61E+09,68.7,27.27,26.9,1014.4
2020-12-03T09:10:00+1000,03-12-2020,09:10:00,1.61E+09,70.4,27.27,26.8,1014.4
2020-12-03T09:20:00+1000,03-12-2020,09:20:00,1.61E+09,69.9,27.27,26.9,1014.3
2020-12-03T09:30:00+1000,03-12-2020,09:30:00,1.61E+09,69.5,27.27,26.8,1014.2
2020-12-03T09:40:00+1000,03-12-2020,09:40:00,1.61E+09,68.9,27.27,26.8,1014.2
2020-12-03T09:50:00+1000,03-12-2020,09:50:00,1.61E+09,68.5,27.28,26.9,1014.2
2020-12-03T10:00:00+1000,03-12-2020,10:00:00,1.61E+09,69.7,27.28,26.9,1014.3
2020-12-03T10:10:00+1000,03-12-2020,10:10:00,1.61E+09,70.3,27.28,26.9,1014.4
2020-12-03T10:20:00+1000,03-12-2020,10:20:00,1.61E+09,68.3,27.28,26.9,1014.3
2020-12-03T10:30:00+1000,03-12-2020,10:30:00,1.61E+09,71.2,27.28,26.9,1014.3
2020-12-03T10:40:00+1000,03-12-2020,10:40:00,1.61E+09,68,27.28,26.9,1014.3
2020-12-03T10:50:00+1000,03-12-2020,10:50:00,1.61E+09,70.2,27.28,26.8,1014.3
2020-12-03T11:00:00+1000,03-12-2020,11:00:00,1.61E+09,70.2,27.28,26.9,1014.3
2020-12-03T11:10:00+1000,03-12-2020,11:10:00,1.61E+09,67.9,27.28,26.9,1014.4
2020-12-03T11:20:00+1000,03-12-2020,11:20:00,1.61E+09,66.7,27.31,27,1014.3
2020-12-03T11:30:00+1000,03-12-2020,11:30:00,1.61E+09,70.6,27.31,27,1014.3
2020-12-03T11:40:00+1000,03-12-2020,11:40:00,1.61E+09,67.8,27.32,26.9,1014.2
2020-12-03T11:50:00+1000,03-12-2020,11:50:00,1.61E+09,65.9,27.32,27.1,1014.2
2020-12-03T12:00:00+1000,03-12-2020,12:00:00,1.61E+09,67,27.34,27.1,1014.2
2020-12-03T12:10:00+1000,03-12-2020,12:10:00,1.61E+09,66,27.34,27,1014.1
2020-12-03T12:20:00+1000,03-12-2020,12:20:00,1.61E+09,68.1,27.34,27.1,1013.9
2020-12-03T12:30:00+1000,03-12-2020,12:30:00,1.61E+09,68,27.37,27.1,1013.8
2020-12-03T12:40:00+1000,03-12-2020,12:40:00,1.61E+09,66.1,27.41,27,1013.7
2020-12-03T12:50:00+1000,03-12-2020,12:50:00,1.61E+09,67.4,27.41,26.9,1013.6
